lambda,range
0.044444444444444446,2415600
0.03833333333333333,2419200
0.044444444444444446,2422800
0.041666666666666664,2426400
0.02722222222222222,2430000
0.008888888888888889,2433600
0.012777777777777779,2437200
0.0125,2440800
0.015833333333333335,2444400
0.021111111111111112,2448000
0.03333333333333333,2451600
0.05388888888888889,2455200
0.07444444444444444,2458800
0.08555555555555555,2462400
0.08972222222222222,2466000
0.07333333333333333,2469600
0.07083333333333333,2473200
0.08888888888888889,2476800
0.09944444444444445,2480400
0.10222222222222223,2484000
0.10277777777777777,2487600
0.09638888888888889,2491200
0.07777777777777778,2494800
0.05416666666666667,2498400
0.044444444444444446,2502000
0.03833333333333333,2505600
0.044444444444444446,2509200
0.041666666666666664,2512800
0.02722222222222222,2516400
0.008888888888888889,2520000
0.012777777777777779,2523600
0.0125,2527200
0.015833333333333335,2530800
0.021111111111111112,2534400
0.03333333333333333,2538000
0.05388888888888889,2541600
0.07444444444444444,2545200
0.08555555555555555,2548800
0.08972222222222222,2552400
0.07333333333333333,2556000
0.07083333333333333,2559600
0.08888888888888889,2563200
0.09944444444444445,2566800
0.10222222222222223,2570400
0.10277777777777777,2574000
0.09638888888888889,2577600
0.07777777777777778,2581200
0.05416666666666667,2584800
0.044444444444444446,2588400
0.03833333333333333,2592000
0.044444444444444446,2595600
0.041666666666666664,2599200
0.02722222222222222,2602800
0.008888888888888889,2606400
0.012777777777777779,2610000
0.0125,2613600
0.015833333333333335,2617200
0.021111111111111112,2620800
0.03333333333333333,2624400
0.05388888888888889,2628000
0.07444444444444444,2631600
0.08555555555555555,2635200
0.08972222222222222,2638800
0.07333333333333333,2642400
0.07083333333333333,2646000
0.08888888888888889,2649600
0.09944444444444445,2653200
0.10222222222222223,2656800
0.10277777777777777,2660400
0.09638888888888889,2664000
0.07777777777777778,2667600
0.05416666666666667,2671200
0.044444444444444446,2674800
0.03833333333333333,2678400
0.044444444444444446,2682000
0.041666666666666664,2685600
0.02722222222222222,2689200
0.008888888888888889,2692800
0.012777777777777779,2696400
0.0125,2700000
0.015833333333333335,2703600
0.021111111111111112,2707200
0.03333333333333333,2710800
0.05388888888888889,2714400
0.07444444444444444,2718000
0.08555555555555555,2721600
0.08972222222222222,2725200
0.07333333333333333,2728800
0.07083333333333333,2732400
0.08888888888888889,2736000
0.09944444444444445,2739600
0.10222222222222223,2743200
0.10277777777777777,2746800
0.09638888888888889,2750400
0.07777777777777778,2754000
0.05416666666666667,2757600
0.044444444444444446,2761200
0.03833333333333333,2764800
0.044444444444444446,2768400
0.041666666666666664,2772000
0.02722222222222222,2775600
0.008888888888888889,2779200
0.012777777777777779,2782800
0.0125,2786400
0.015833333333333335,2790000
0.021111111111111112,2793600
0.03333333333333333,2797200
0.05388888888888889,2800800
0.07444444444444444,2804400
0.08555555555555555,2808000
0.08972222222222222,2811600
0.07333333333333333,2815200
0.07083333333333333,2818800
0.08888888888888889,2822400
0.09944444444444445,2826000
0.10222222222222223,2829600
0.10277777777777777,2833200
0.09638888888888889,2836800
0.07777777777777778,2840400
0.05416666666666667,2844000
0.044444444444444446,2847600
0.03833333333333333,2851200
0.044444444444444446,2854800
0.041666666666666664,2858400
0.02722222222222222,2862000
0.008888888888888889,2865600
0.012777777777777779,2869200
0.0125,2872800
0.015833333333333335,2876400
0.021111111111111112,2880000
0.03333333333333333,2883600
0.05388888888888889,2887200
0.07444444444444444,2890800
0.08555555555555555,2894400
0.08972222222222222,2898000
0.07333333333333333,2901600
0.07083333333333333,2905200
0.08888888888888889,2908800
0.09944444444444445,2912400
0.10222222222222223,2916000
0.10277777777777777,2919600
0.09638888888888889,2923200
0.07777777777777778,2926800
0.05416666666666667,2930400
0.044444444444444446,2934000
0.03833333333333333,2937600
0.044444444444444446,2941200
0.041666666666666664,2944800
0.02722222222222222,2948400
0.008888888888888889,2952000
0.012777777777777779,2955600
0.0125,2959200
0.015833333333333335,2962800
0.021111111111111112,2966400
0.03333333333333333,2970000
0.05388888888888889,2973600
0.07444444444444444,2977200
0.08555555555555555,2980800
0.08972222222222222,2984400
0.07333333333333333,2988000
0.07083333333333333,2991600
0.08888888888888889,2995200
0.09944444444444445,2998800
0.10222222222222223,3002400
0.10277777777777777,3006000
0.09638888888888889,3009600
0.07777777777777778,3013200
0.05416666666666667,3016800
0.044444444444444446,3020400
0.03833333333333333,3024000
0.044444444444444446,3027600
0.041666666666666664,3031200
0.02722222222222222,3034800
0.008888888888888889,3038400
0.012777777777777779,3042000
0.0125,3045600
0.015833333333333335,3049200
